pCO2,AOU,excess DIC,T,nDIC+0.768DO,DIC-0.5TA+0.83DO,DO Saturation,label,LOF_label
446.1968783289194,13.250943440655618,10.279787150025413,18.1,2244.1178336427497,1091.9993000000002,0.9437832016116704,1,0
388.3,-13.01549513,-16.18037675,24.588,2162.92883,1017.669543,1.050354413,1,0
440.1,11.19318426,8.27088993,18.686,2230.722425,1099.547521,0.951559665,1,0
459.8,13.89712003,16.29407104,18.686,2236.680802,1104.881436,0.939873154,1,0
406.0,13.83658106,-6.847492584,18.686,2213.575296,1081.993119,0.940134806,1,0
373.927,13.2140622,-10.2,5.933,2350.989,1206.305,0.892637492,0,0
368.431,12.06550396,-12.329,5.426,2356.31,1210.745,0.896654012,0,0
358.532,9.485520781,-16.29,5.006,2360.126,1212.715,0.904842245,0,0
393.089,22.76356848,-2.692,7.212,2334.561,1191.37,0.860872196,0,0
390.119,18.57995284,-3.785,6.28,2348.838,1204.1,0.875559211,0,0
358.526,11.68413331,-16.46,5.34,2353.384,1207.28,0.897889014,0,0
388.161,21.23264305,-4.613,6.87,2338.263,1194.45,0.866319595,0,0
403.035,28.34322593,1.145,6.579,2342.417,1197.39,0.844473801,0,0
393.631,24.31216064,-2.42,6.18,2347.112,1201.9,0.857883101,0,0
370.605,13.62707225,-12.877,11.146,2283.682,1144.825,0.885922278,0,0
366.215,10.83915828,-14.898,11.116,2284.253,1145.205,0.895676132,0,0
373.324,11.49892341,-11.447,10.54,2294.794,1154.075,0.893916978,0,0
375.646,7.736327407,-10.55,11.13,2290.847,1151.225,0.906479518,0,0
373.611,7.052966033,-11.445,11.084,2291.134,1150.615,0.908891077,0,0
398.585,11.43293084,-0.583,10.7,2303.67,1162.705,0.893988925,0,0
378.973,10.24179221,-9.064,11.214,2289.458,1149.42,0.897678239,0,0
389.256,13.58093579,-4.504,10.838,2296.339,1154.425,0.886426515,0,0
379.055,9.435987797,-9.011,11.18,2290.469,1149.505,0.900516775,0,0
410.814,28.1592227,4.806,20.45,2195.469,1024.485,0.816190262,0,0
426.375,24.6060476,11.884,20.58,2199.24,1046.875,0.830271597,0,0
452.39,31.46997194,22.377,20.47,2208.031,1048.91,0.801999327,0,0
375.689,13.14269895,-11.408,16.94,2222.492,1076.435,0.881936255,0,0
416.333,18.45283559,7.313,18.42,2221.287,1073.84,0.859031416,0,0
433.665,27.1978916,14.763,18.72,2219.147,1072.87,0.823164525,0,0
408.7,21.17506873,3.755,15.05,2252.548,1106.775,0.85348467,0,0
386.784,10.80638451,-6.062,16.56,2233.503,1088.39,0.89138781,0,0
381.166,3.824720592,-8.947,18.3,2216.537,1071.08,0.918051515,0,0
290.0,-8.812928365,-50.928,6.53,2322.253,1177.245,0.960947902,0,0
282.855,-18.90006065,-55.763,7.28,2316.357,1171.34,0.993439336,0,0
321.824,7.465745598,-33.682,6.02,2332.792,1189.25,0.910411569,0,0
349.238,28.4997203,-20.591,5.57,2334.862,1190.54,0.846371248,0,0
306.187,13.03683887,-41.699,6.11,2319.69,1174.33,0.893161256,0,0
387.756,29.96298312,-4.67,5.88,2345.533,1202.315,0.84113369,0,0
376.308,22.6664336,-9.16,5.66,2349.511,1205.255,0.864005385,0,0
306.503,7.321029707,-41.548,6.05,2324.63,1180.07,0.910847367,0,0
365.13,5.490348627,-13.315,4.11,2377.766,1231.69,0.917258759,0,0
341.162,4.752058967,-23.557,4.08,2368.335,1224.335,0.91944784,0,0
365.546,1.727542183,-13.05,3.86,2384.679,1238.05,0.928392488,0,0
378.539,7.934390656,-8.146,5.08,2368.858,1222.46,0.90947798,0,0
378.799,6.763412104,-7.917,4.33,2379.595,1232.3,0.913394562,0,0
380.666,8.702337546,-7.199,4.34,2378.741,1231.575,0.90763954,0,0
410.811,19.50820854,3.909,5.37,2368.11,1220.825,0.874040862,0,0
373.69,7.703981792,-9.91,4.35,2376.802,1229.24,0.910600925,0,0
389.431,7.473714679,-3.863,4.25,2384.428,1236.66,0.911338015,0,0
359.037,12.91380593,-18.63,12.38,2265.171,1124.84,0.887251149,0,0
357.205,16.87656666,-19.114,11.38,2274.128,1132.0,0.874422887,0,0
377.928,12.13972945,-9.352,10.86,2294.469,1149.64,0.891503792,0,0
393.085,27.49082356,-2.913,11.57,2279.291,1136.54,0.836795608,0,0
367.431,15.93246344,-14.483,12.02,2271.228,1130.01,0.876889142,0,0
401.102,18.87790431,0.451,11.05,2296.628,1151.5,0.867914299,0,0
335.96,6.469355482,-30.231,12.11,2261.586,1120.48,0.910444151,0,0
374.805,21.66990714,-11.067,12.07,2269.807,1128.53,0.856443409,0,0
386.901,29.20799596,-5.582,11.65,2274.974,1132.88,0.830648602,0,0
390.494,15.89608618,-4.264,16.29,2237.582,1088.71,0.872110564,0,0
348.206,-7.747124092,-25.268,16.6,2230.178,1084.765,0.96355173,0,0
381.328,-18.87380589,-8.628,16.84,2253.063,1109.17,1.007127614,0,0
360.877,-5.480050058,-16.936,10.95,2302.216,1156.035,0.952361287,0,0
373.35,0.415169775,-11.547,12.36,2286.91,1139.73,0.931975088,0,0
354.063,-8.048058661,-21.22,13.89,2265.515,1120.28,0.963034185,0,0
378.608,10.72354518,-9.183,11.43,2288.884,1146.85,0.89592274,0,0
351.255,4.394635844,-22.771,13.24,2258.301,1118.13,0.91745243,0,0
352.135,-7.646508325,-21.96,13.02,2273.495,1129.55,0.96107936,0,0
